Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1048576,189.4,78.01,254.1,50,4,3,pipeline
1,2.73,0.22,5.19,50,8,3,pipeline
2,2.44,0.12,4.76,50,8,3,pipeline
4,2.4,0.11,4.73,50,8,3,pipeline
8,2.47,0.12,4.87,50,8,3,pipeline
16,2.42,0.11,4.8,50,8,3,pipeline
32,2.47,0.11,4.93,50,8,3,pipeline
64,2.99,0.12,5.84,50,8,3,pipeline
128,6.68,1.33,11.5,50,8,3,pipeline
256,3.84,0.3,7.25,50,8,3,pipeline
512,4.0,0.38,7.36,50,8,3,pipeline
1024,4.81,0.42,8.98,50,8,3,pipeline
2048,6.47,0.73,11.83,50,8,3,pipeline
4096,9.58,1.25,17.15,50,8,3,pipeline
8192,7.1,0.88,13.04,50,8,3,pipeline
16384,20.48,4.22,34.46,50,8,3,pipeline
32768,25.93,5.29,43.52,50,8,3,pipeline
65536,37.03,7.72,61.31,50,8,3,pipeline
131072,60.32,13.55,97.42,50,8,3,pipeline
262144,114.84,26.66,182.9,50,8,3,pipeline
524288,226.16,57.13,356.86,50,8,3,pipeline
1048576,451.54,115.61,718.15,50,8,3,pipeline
1,1.74,0.11,3.36,50,2,5,binary tree
2,1.79,0.11,3.47,50,2,5,binary tree
4,1.71,0.11,3.31,50,2,5,binary tree
8,1.72,0.11,3.32,50,2,5,binary tree
16,1.71,0.11,3.31,50,2,5,binary tree
32,1.83,0.11,3.56,50,2,5,binary tree
64,2.26,0.12,4.4,50,2,5,binary tree
128,1.78,0.12,3.45,50,2,5,binary tree
256,2.37,0.55,4.2,50,2,5,binary tree
512,2.58,0.36,4.8,50,2,5,binary tree
1024,2.99,1.02,4.97,50,2,5,binary tree
2048,3.6,3.25,3.95,50,2,5,binary tree
4096,4.5,4.36,4.63,50,2,5,binary tree
8192,5.45,5.19,5.71,50,2,5,binary tree
16384,7.34,7.1,7.57,50,2,5,binary tree
32768,10.47,9.63,11.3,50,2,5,binary tree
65536,15.3,13.65,16.96,50,2,5,binary tree
131072,21.47,19.78,23.16,50,2,5,binary tree
262144,35.59,33.95,37.24,50,2,5,binary tree
524288,53.13,51.5,54.76,50,2,5,binary tree
1048576,99.1,97.64,100.56,50,2,5,binary tree
1,0.88,0.61,1.09,50,4,5,binary tree
2,0.72,0.5,0.96,50,4,5,binary tree
4,0.73,0.49,0.95,50,4,5,binary tree
8,0.73,0.49,0.96,50,4,5,binary tree
