Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
131072,15.11,8.09,22.13,20000,2,1,basic linear
262144,34.55,33.07,36.04,20000,2,1,basic linear
524288,63.5,62.0,65.0,20000,2,1,basic linear
1,0.9,0.89,0.92,20000,4,1,basic linear
2,0.9,0.89,0.91,20000,4,1,basic linear
4,0.91,0.89,0.92,20000,4,1,basic linear
8,0.9,0.89,0.92,20000,4,1,basic linear
16,0.9,0.89,0.91,20000,4,1,basic linear
32,0.96,0.89,1.03,20000,4,1,basic linear
64,1.32,0.88,1.76,20000,4,1,basic linear
128,1.4,0.92,1.85,20000,4,1,basic linear
256,1.94,0.93,3.07,20000,4,1,basic linear
512,2.0,0.97,3.17,20000,4,1,basic linear
1024,2.17,0.99,3.53,20000,4,1,basic linear
2048,2.2,1.01,3.34,20000,4,1,basic linear
4096,2.77,1.14,4.33,20000,4,1,basic linear
8192,3.0,1.18,4.86,20000,4,1,basic linear
16384,4.06,1.68,6.14,20000,4,1,basic linear
32768,7.1,2.82,11.12,20000,4,1,basic linear
65536,12.62,5.23,19.96,20000,4,1,basic linear
131072,23.13,9.98,36.42,20000,4,1,basic linear
262144,65.69,30.0,89.64,20000,4,1,basic linear
524288,134.72,71.98,174.9,20000,4,1,basic linear
1,2.3,0.29,4.68,20000,8,1,basic linear
2,2.3,0.29,4.68,20000,8,1,basic linear
4,2.3,0.29,4.68,20000,8,1,basic linear
8,2.37,0.37,4.75,20000,8,1,basic linear
16,2.36,0.34,4.8,20000,8,1,basic linear
32,2.47,0.36,5.0,20000,8,1,basic linear
64,2.72,0.23,5.32,20000,8,1,basic linear
128,2.93,0.29,6.0,20000,8,1,basic linear
256,3.3,0.31,6.77,20000,8,1,basic linear
512,3.41,0.39,7.05,20000,8,1,basic linear
1024,3.81,0.39,7.7,20000,8,1,basic linear
2048,3.7,0.46,7.14,20000,8,1,basic linear
4096,4.1,0.63,7.49,20000,8,1,basic linear
8192,5.24,0.93,9.79,20000,8,1,basic linear
16384,7.99,1.64,14.07,20000,8,1,basic linear
32768,12.96,2.82,23.41,20000,8,1,basic linear
65536,21.98,5.38,40.14,20000,8,1,basic linear
131072,40.65,10.19,71.78,20000,8,1,basic linear
