Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
4096,28.3,0.62,52.96,30000,64,1,basic linear
8192,45.14,1.06,78.8,30000,64,1,basic linear
16384,81.3,2.19,140.32,30000,64,1,basic linear
32768,154.51,3.94,265.1,30000,64,1,basic linear
65536,294.25,6.97,499.77,30000,64,1,basic linear
131072,599.14,14.59,1021.39,30000,64,1,basic linear
262144,1130.72,36.24,2126.76,30000,64,1,basic linear
524288,1997.0,76.45,3657.36,30000,64,1,basic linear
1,14.16,0.41,47.91,30000,128,1,basic linear
2,14.2,0.3,47.9,30000,128,1,basic linear
4,14.17,0.31,47.94,30000,128,1,basic linear
8,14.2,0.3,47.94,30000,128,1,basic linear
16,14.29,0.3,48.06,30000,128,1,basic linear
32,14.66,0.31,48.48,30000,128,1,basic linear
64,14.85,0.33,49.03,30000,128,1,basic linear
128,28.23,0.45,66.84,30000,128,1,basic linear
256,30.67,0.47,73.24,30000,128,1,basic linear
512,30.75,0.5,73.34,30000,128,1,basic linear
1024,34.57,0.53,78.8,30000,128,1,basic linear
2048,47.21,0.64,95.18,30000,128,1,basic linear
4096,64.27,1.05,120.49,30000,128,1,basic linear
8192,103.61,1.5,178.72,30000,128,1,basic linear
16384,197.71,2.44,330.12,30000,128,1,basic linear
32768,347.73,4.47,585.4,30000,128,1,basic linear
65536,669.02,8.44,1135.08,30000,128,1,basic linear
131072,1418.88,27.26,2374.35,30000,128,1,basic linear
262144,2367.87,37.98,4493.62,30000,128,1,basic linear
524288,4120.55,82.46,7634.63,30000,128,1,basic linear
1,34.56,0.14,85.67,30000,256,1,basic linear
2,34.65,0.14,85.83,30000,256,1,basic linear
4,34.63,0.14,85.82,30000,256,1,basic linear
8,34.72,0.14,85.92,30000,256,1,basic linear
16,35.01,0.14,86.39,30000,256,1,basic linear
32,36.21,0.13,88.15,30000,256,1,basic linear
64,37.35,0.14,90.11,30000,256,1,basic linear
128,73.66,0.25,140.99,30000,256,1,basic linear
256,77.87,0.24,152.62,30000,256,1,basic linear
512,78.99,0.3,154.45,30000,256,1,basic linear
1024,83.74,0.38,161.19,30000,256,1,basic linear
2048,119.66,0.5,211.67,30000,256,1,basic linear
4096,160.58,0.76,272.31,30000,256,1,basic linear
8192,241.34,1.37,398.85,30000,256,1,basic linear
16384,460.19,2.5,760.07,30000,256,1,basic linear
32768,869.65,4.75,1436.78,30000,256,1,basic linear
65536,1774.45,12.44,2904.93,30000,256,1,basic linear
131072,3659.3,33.46,6095.46,30000,256,1,basic linear
262144,4783.24,40.61,9318.99,30000,256,1,basic linear
524288,9743.68,78.83,17838.42,30000,256,1,basic linear
