Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
4096,4.59,0.28,8.79,20000,8,3,pipeline
8192,5.63,0.34,10.78,20000,8,3,pipeline
16384,20.59,4.21,34.68,20000,8,3,pipeline
32768,25.2,4.98,42.23,20000,8,3,pipeline
65536,34.8,7.18,57.73,20000,8,3,pipeline
131072,59.48,12.59,97.65,20000,8,3,pipeline
262144,120.5,28.45,194.84,20000,8,3,pipeline
524288,247.76,60.32,399.28,20000,8,3,pipeline
1,4.0,0.21,7.68,20000,16,3,pipeline
2,4.15,0.21,7.92,20000,16,3,pipeline
4,4.25,0.21,8.21,20000,16,3,pipeline
8,4.0,0.21,7.71,20000,16,3,pipeline
16,4.03,0.22,7.75,20000,16,3,pipeline
32,4.24,0.21,8.26,20000,16,3,pipeline
64,4.7,0.21,9.15,20000,16,3,pipeline
128,4.85,0.27,9.31,20000,16,3,pipeline
256,5.2,0.27,9.92,20000,16,3,pipeline
512,5.65,0.28,10.84,20000,16,3,pipeline
1024,6.14,0.29,11.78,20000,16,3,pipeline
2048,7.12,0.33,13.68,20000,16,3,pipeline
4096,8.73,0.41,16.75,20000,16,3,pipeline
8192,11.75,0.55,22.34,20000,16,3,pipeline
16384,33.53,3.11,60.06,20000,16,3,pipeline
32768,48.62,4.04,86.43,20000,16,3,pipeline
65536,79.3,6.83,139.83,20000,16,3,pipeline
131072,146.59,14.04,256.99,20000,16,3,pipeline
262144,300.17,30.77,522.68,20000,16,3,pipeline
524288,613.91,69.52,1071.71,20000,16,3,pipeline
1,7.8,0.21,15.2,20000,32,3,pipeline
2,7.1,0.21,13.92,20000,32,3,pipeline
4,7.07,0.21,14.05,20000,32,3,pipeline
8,7.04,0.21,13.81,20000,32,3,pipeline
16,7.07,0.21,13.84,20000,32,3,pipeline
32,7.55,0.22,14.86,20000,32,3,pipeline
64,7.93,0.22,15.59,20000,32,3,pipeline
128,8.47,0.26,16.58,20000,32,3,pipeline
256,9.29,0.27,20.83,20000,32,3,pipeline
512,9.99,0.28,19.48,20000,32,3,pipeline
1024,10.58,0.29,20.52,20000,32,3,pipeline
2048,12.87,0.33,25.13,20000,32,3,pipeline
4096,15.52,0.37,30.19,20000,32,3,pipeline
8192,21.06,0.44,41.0,20000,32,3,pipeline
16384,66.95,3.03,125.62,20000,32,3,pipeline
32768,98.4,4.17,184.71,20000,32,3,pipeline
65536,164.36,7.64,307.05,20000,32,3,pipeline
131072,304.32,15.5,565.26,20000,32,3,pipeline
262144,614.81,33.76,1140.29,20000,32,3,pipeline
524288,1246.84,75.53,2316.77,20000,32,3,pipeline
1,11.29,0.42,28.15,20000,64,3,pipeline
2,9.87,0.42,25.42,20000,64,3,pipeline
4,9.89,0.42,25.44,20000,64,3,pipeline
